Field [G], Intensity [a.u.]
150.0, -0.1736174813261695
151.0989010989011, -0.1642674616695059
152.1978021978022, -0.17053138513956223
153.2967032967033, -0.16868365876031968
154.3956043956044, -0.16735028174551164
155.4945054945055, -0.1753374393919538
156.5934065934066, -0.1778698728869086
157.69230769230768, -0.18534923339011916
158.7912087912088, -0.19064015201153184
159.8901098901099, -0.18456624295636212
160.98901098901098, -0.18702987812868554
162.0879120879121, -0.19283842222513423
163.1868131868132, -0.1815686017559952
164.28571428571428, -0.18208950334163274
165.3846153846154, -0.17228410431136149
166.4835164835165, -0.16028698728869079
167.58241758241758, -0.16694404403092641
168.6813186813187, -0.17365024243218444
169.7802197802198, -0.17379766740925165
170.87912087912088, -0.17132092779452227
171.97802197802199, -0.1793572270999868
173.0769230769231, -0.19496461800550377
174.17582417582418, -0.20560542523915598
175.27472527472528, -0.19396540427204814
176.37362637362637, -0.19605228672519975
177.47252747252747, -0.18724937753898563
178.57142857142858, -0.18836980736469655
179.67032967032966, -0.18121478181103387
180.76923076923077, -0.18940178220416712
181.86813186813188, -0.19225527453806832
182.96703296703296, -0.19045668981784816
184.06593406593407, -0.19838160136286193
185.16483516483515, -0.19578364565587725
186.26373626373626, -0.17629078757698852
187.36263736263737, -0.18067422356178736
188.46153846153845, -0.18489057790591001
189.56043956043956, -0.20100248984405705
190.65934065934067, -0.19808675140872747
191.75824175824175, -0.19117088192897383
192.85714285714286, -0.19998034333639095
193.95604395604397, -0.20996592844974438
195.05494505494505, -0.21275717468221716
196.15384615384616, -0.19716616432970768
197.25274725274727, -0.20416393657449866
198.35164835164835, -0.20982833180448163
199.45054945054946, -0.21193814703184372
200.54945054945057, -0.20106145983488394
201.64835164835165, -0.216888350150701
202.74725274725276, -0.21502096710784946
203.84615384615387, -0.19791639365744979
204.94505494505495, -0.20667998951644598
206.04395604395606, -0.19868627964880087
207.14285714285714, -0.19889595072729646
208.24175824175825, -0.19699580657843
209.34065934065933, -0.20270934346743538
210.43956043956044, -0.21074236666229842
211.53846153846155, -0.19811296029353942
212.63736263736263, -0.1879701218713143
213.73626373626374, -0.18693814703184372
214.83516483516485, -0.1933527715895688
215.93406593406593, -0.1947385663740007
217.03296703296704, -0.1851199056480146
218.13186813186815, -0.1900078626654435
219.23076923076923, -0.18816668850740392
220.32967032967034, -0.20458000262088838
221.42857142857144, -0.20473070370855712
222.52747252747253, -0.20399030271261948
223.62637362637363, -0.19927270344646827
224.72527472527474, -0.20004914165902232
225.82417582417582, -0.20275848512645778
226.92307692307693, -0.2065718778665967
228.02197802197804, -0.2043080854409644
229.12087912087912, -0.2090387891495216
230.21978021978023, -0.19687131437557323
231.31868131868134, -0.20080919931856892
232.41758241758242, -0.2031385139562311
233.5164835164835, -0.20053072991744192
234.61538461538464, -0.19870921242301132
235.71428571428572, -0.19905975625737116
236.8131868131868, -0.19383763595858988
237.9120879120879, -0.17969466649194069
239.01098901098902, -0.19088258419604237
240.1098901098901, -0.20080919931856892
241.2087912087912, -0.19878456296684568
242.30769230769232, -0.20901585637531114
243.4065934065934, -0.21004127899357874
244.5054945054945, -0.20789215043899872
245.60439560439562, -0.20841960424583925
246.7032967032967, -0.21023784562966835
247.8021978021978, -0.20951054907613673
248.90109890109892, -0.21434936443454322
250.0, -0.20783318044817184
251.0989010989011, -0.21084064998034324
252.19780219780222, -0.20891102083606333
253.2967032967033, -0.2070534661250163
254.3956043956044, -0.20222447909841426
255.49450549450552, -0.20200170357751268
256.5934065934066, -0.22052155680775773
257.69230769230774, -0.22367972742759787
258.7912087912088, -0.21836587603197474
259.8901098901099, -0.22247739483684958
260.989010989011, -0.21985978246625595
262.0879120879121, -0.22576988599135098
263.1868131868132, -0.23915935001965655
264.2857142857143, -0.23679072205477647
265.3846153846154, -0.22824990171668186
266.4835164835165, -0.22199908268903149
267.5824175824176, -0.21665574629799492
268.68131868131866, -0.2317127506224609
269.7802197802198, -0.2157580919931856
270.8791208791209, -0.21391036561394303
271.97802197802196, -0.2210326300615908
273.0769230769231, -0.20782662822696885
274.1758241758242, -0.20878325252260507
275.27472527472526, -0.20504848643690202
276.3736263736264, -0.21174158039575408
277.4725274725275, -0.2150471759926614
278.57142857142856, -0.21390053728213856
279.6703296703297, -0.2247313589306774
280.7692307692308, -0.2203184379504651
281.86813186813185, -0.2245708295112042
282.967032967033, -0.23255798715764633
284.0659340659341, -0.2351592189752325
285.16483516483515, -0.22250687983226303
286.2637362637363, -0.2195190669637006
287.3626373626374, -0.23583082164853875
288.46153846153845, -0.23383894640283046
289.5604395604396, -0.22670030140217523
290.65934065934067, -0.22309657974053193
291.75824175824175, -0.22334556414624548
292.8571428571429, -0.21583999475822294
293.95604395604397, -0.22388939850609346
295.05494505494505, -0.22339142969466638
296.1538461538462, -0.22470515004586544
297.25274725274727, -0.24673044161970897
298.35164835164835, -0.2367186476215436
299.4505494505495, -0.23362599921373337
300.54945054945057, -0.23512973397981907
301.64835164835165, -0.23152273620757427
302.7472527472528, -0.22659874197352892
303.84615384615387, -0.2341305202463634
304.94505494505495, -0.2261302581575153
306.0439560439561, -0.21910955313851385
307.14285714285717, -0.22718516577119632
308.24175824175825, -0.2279484995413444
309.3406593406594, -0.2246199711702266
310.43956043956047, -0.21228213864500056
311.53846153846155, -0.21239352640545137
312.6373626373627, -0.21982702136024102
313.7362637362637, -0.23013694142314234
314.83516483516485, -0.24114467304416187
315.934065934066, -0.23483160791508312
317.032967032967, -0.22567160267330616
318.13186813186815, -0.23609618660725976
319.2307692307693, -0.24409972480670936
320.3296703296703, -0.23125737124885326
321.42857142857144, -0.2323090027519328
322.5274725274726, -0.23711833311492586
323.6263736263736, -0.24307430218844178
324.72527472527474, -0.24253374393919527
325.8241758241758, -0.23358340977591394
326.9230769230769, -0.2240269951513562
328.02197802197804, -0.23483160791508312
329.1208791208791, -0.23284300877997632
330.2197802197802, -0.23721661643297068
331.31868131868134, -0.22931136155156587
332.4175824175824, -0.2345760712881666
333.5164835164835, -0.23060542523915598
334.61538461538464, -0.23953610273882836
335.7142857142857, -0.23352116367448555
336.8131868131868, -0.21971890971039174
337.91208791208794, -0.21955510418031704
339.010989010989, -0.2245282400733848
340.1098901098901, -0.22830887170750874
341.20879120879124, -0.22549141659022398
342.3076923076923, -0.22639234700563482
343.4065934065934, -0.22029222906565316
344.50549450549454, -0.21467369938409112
345.6043956043956, -0.2267756519460096
346.7032967032967, -0.2229589830952692
347.80219780219784, -0.21739287118333106
348.9010989010989, -0.2264513169964617
350.0, -0.21320272572402035
351.09890109890114, -0.20683069060411471
352.1978021978022, -0.21277027912462315
353.2967032967033, -0.22249705150045856
354.39560439560444, -0.21583999475822294
355.4945054945055, -0.2016708164067618
356.5934065934066, -0.20637531123050706
357.69230769230774, -0.21075219499410291
358.7912087912088, -0.2060280435067487
359.8901098901099, -0.19428318700039304
